#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 06 12 00 999 99.0 99.0  0.30 14.29 99.00  73 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 13 00 999 99.0 99.0  0.32 14.29 99.00  91 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 14 00 999 99.0 99.0  0.31 10.81 99.00 102 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 15 00 999 99.0 99.0  0.33  8.70 99.00  86 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 16 00 999 99.0 99.0  0.31 10.00 99.00  98 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 17 00 999 99.0 99.0  0.30 10.81 99.00  97 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 18 00 999 99.0 99.0  0.29 10.00 99.00  98 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 19 00 999 99.0 99.0  0.31  8.16 99.00  85 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 20 00 999 99.0 99.0  0.39  7.69 99.00  95 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 21 00 999 99.0 99.0  0.39 10.00 99.00  95 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 22 00 999 99.0 99.0  0.44  7.27 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 23 00 999 99.0 99.0  0.43  8.16 99.00  85 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 00 00 999 99.0 99.0  0.53  7.27 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 01 00 999 99.0 99.0  0.51  7.69 99.00  84 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 02 00 999 99.0 99.0  0.47 10.81 99.00 102 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 03 00 999 99.0 99.0  0.43  9.30 99.00  87 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 04 00 999 99.0 99.0  0.40  8.16 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 05 00 999 99.0 99.0  0.52  7.27 99.00  88 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 06 00 999 99.0 99.0  0.61  7.69 99.00  95 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 07 00 999 99.0 99.0  0.72  4.12 99.00  64 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 08 00 999 99.0 99.0  0.88  4.71 99.00  98 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 09 00 999 99.0 99.0  0.85  5.26 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 10 00 999 99.0 99.0  0.93  5.71 99.00  99 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 11 00 999 99.0 99.0  1.20  5.06 99.00  80 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 12 00 999 99.0 99.0  1.18  6.56 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 13 00 999 99.0 99.0  1.21  6.25 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 14 00 999 99.0 99.0  1.03  5.48 99.00 102 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 15 00 999 99.0 99.0  1.14  5.97 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 16 00 999 99.0 99.0  1.08  6.25 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 17 00 999 99.0 99.0  0.96  6.25 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 18 00 999 99.0 99.0  1.00  6.25 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 19 00 999 99.0 99.0  1.06  6.90 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 20 00 999 99.0 99.0  1.03  7.27 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 21 00 999 99.0 99.0  0.99  6.56 99.00  97 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 22 00 999 99.0 99.0  0.96  6.56 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 07 23 00 999 99.0 99.0  0.97  6.56 99.00  97 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 00 00 999 99.0 99.0  0.91  6.56 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 01 00 999 99.0 99.0  0.92  6.56 99.00  97 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 02 00 999 99.0 99.0  0.82  7.27 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 03 00 999 99.0 99.0  0.75  6.90 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
